06/Mar/2021:22:00:53 377 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2
07/Mar/2021:02:10:53 377 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:4 - Output:24
07/Mar/2021:17:00:07 905 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:9 - Output:3.0
07/Mar/2021:17:00:13 885 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:3 - Output:6
07/Mar/2021:17:00:19 367 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:10 - Output:2.302585092994046
07/Mar/2021:17:00:24 949 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:5^2 - Output:25.0
07/Mar/2021:17:23:34 195 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^4 - Output:256.0
07/Mar/2021:17:23:34 202 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:5 - Output:1.6094379124341003
07/Mar/2021:17:23:34 204 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:5 - Output:2.23606797749979
07/Mar/2021:17:23:34 205 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2.0
07/Mar/2021:17:23:34 206 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:5 - Output:120
07/Mar/2021:17:23:34 208 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:4 - Output:1.3862943611198906
07/Mar/2021:17:23:34 209 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:4 - Output:24
07/Mar/2021:17:23:34 210 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^2 - Output:16.0
07/Mar/2021:17:33:24 332 [ScientificCalculator.java] [INFO] ScientificCalculator POWER_FUNCTION - Input:4^4 - Output:256.0
07/Mar/2021:17:33:24 338 [ScientificCalculator.java] [INFO] ScientificCalculator LOGARITHM - Input:5 - Output:1.6094379124341003
07/Mar/2021:17:33:24 339 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:5 - Output:2.23606797749979
07/Mar/2021:17:33:24 341 [ScientificCalculator.java] [INFO] ScientificCalculator SQUARE_ROOT - Input:4 - Output:2.0
07/Mar/2021:17:33:24 342 [ScientificCalculator.java] [INFO] ScientificCalculator FACTORIAL - Input:5 - Output:120
